word,ConcM,LengthWord,Corr,Zipf
baby,5,4,y,5
clock,5,5,y,4
ball,5,4,y,4
horse,5,5,y,4
camera,5,6,y,4
finger,5,6,y,4
call,4,4,y,5
sweet,4,5,y,4
duke,4,4,y,4
shock,4,5,y,4
battle,4,6,y,4
sister,4,6,y,4
ahead,3,5,y,5
force,3,5,y,4
code,3,4,y,4
grade,3,5,y,4
closer,3,6,y,4
genius,3,6,y,4
done,2,4,y,5
manage,2,6,y,4
ways,2,4,y,4
aware,2,5,y,4
harder,2,6,y,4
bother,2,6,y,4
zoog,,4,n,na
ploir,,5,n,na
tish,,4,n,na
plirr,,5,n,na
plulck,,6,n,na
zorved,,6,n,na
fubb,,4,n,na
gnund,,5,n,na
gulc,,4,n,na
yefte,,5,n,na
sneped,,6,n,na
zeuped,,6,n,na
preg,,4,n,na
skoom,,5,n,na
veft,,4,n,na
vurpe,,5,n,na
phlirm,,6,n,na
shreor,,6,n,na
molc,,4,n,na
ploas,,5,n,na
vomp,,4,n,na
luitch,,6,n,na
rhurrs,,6,n,na
thielt,,6,n,na